24	29
32	47
42	36
45	44
27	42
26	27
48	46
43	31
29	43
40	36
50	42
32	36
38	26
42	60
43	39
47	54
32	22
34	27
14	39
39	52
44	54
24	16
40	43
22	12
47	39
51	50
20	54
42	43
27	40
24	33
43	46
27	26
20	29
17	23
47	50
28	37
51	42
50	43
49	43
49	29
38	40
38	30
44	35
18	42
28	48
23	41
41	13
29	49
44	42
41	49
43	42
43	50
49	59
44	41
44	46
49	47
45	45
33	43
44	42
42	50
38	40
32	26
43	46
40	47
50	44
56	52
46	42
44	45
38	49
43	53
45	43
42	48
40	44
30	42
22	56
46	47
47	41
42	47
20	41
40	35
32	35
51	32
10	21
45	48
30	30
30	39
52	36
49	49
19	40
52	41
41	36
40	41
52	49
50	45
33	41
23	52
40	41
47	52
47	48
52	55
33	41
29	30
24	36
31	39
48	46
39	44
28	54
40	44
42	36
38	45
43	58
50	45
46	45
44	40
40	23
48	51
22	36
37	57
47	44
58	50
41	43
36	54
7	32
38	40
32	38
35	38
38	46
37	45
43	37
36	22
56	51
44	41
37	31
40	48
41	20
38	36
51	54
47	44
44	48
48	48
48	39
42	42
37	45
40	33
45	50
45	48
46	49
28	45
46	33
36	45
37	39
62	61
47	45
22	48
20	20
39	41
39	37
49	49
28	42
27	42
48	40
42	45
44	50
35	35
52	44
42	40
45	58
47	38
70	71
39	34
21	20
56	47
37	42
44	42
50	47
46	46
27	53
43	50
46	53
60	60
44	64
36	55
52	52
41	39
26	38
32	47
22	32
22	40
74	73
45	47
31	23
51	53
31	38
49	54
17	39
64	66
78	76
43	46
40	49
50	42
39	44
44	54
57	59
62	55
56	48
38	44
40	45
4	28
44	50
49	50
52	46
84	84
38	48
42	36
88	87
80	84
27	34
90	89
36	37
39	32
34	33
21	24
68	67
88	87
86	84
60	62
43	50
14	43
23	23
31	27
80	79
80	84
86	88
43	48
77	76
39	35
35	35
43	46
90	96
60	59
70	72
70	75
80	79
66	68
70	72
52	53
34	59
35	40
19	38
23	32
38	40
41	40
41	28
59	62
43	45
80	83
76	74
38	24
35	28
39	42
74	78
70	75
47	50
34	26
96	90
80	84
79	81
45	50
40	32
34	26
53	62
98	95
68	73
60	64
74	68
62	66
72	71
68	67
40	37
44	38
38	36
36	38
44	42
74	76
67	70
38	35
42	44
41	44
40	32
29	48
45	39
41	39
45	40
72	71
60	64
34	31
52	55
27	39
43	43
55	59
60	30
50	50
40	42
24	27
43	56
49	46
26	30
38	49
48	49
72	68
46	52
77	76
40	51
43	37
50	54
42	35
42	52
66	70
44	37
49	50
34	34
69	66
48	56
40	39
72	71
82	82
19	45
32	30
21	34
51	54
45	50
41	43
64	65
73	72
78	80
52	54
70	71
40	39
50	54
68	64
49	53
62	60
39	35
40	40
18	39
39	38
74	75
70	69
70	89
20	38
56	55
45	50
40	40
44	37
66	65
31	29
42	56
72	70
36	43
73	69
28	29
70	70
37	36
73	70
75	78
70	68
47	44
39	38
40	44
64	67
41	40
70	68
51	51
50	50
46	47
42	42
44	35
78	78
74	74
73	74
76	68
70	66
52	54
70	68
47	47
41	40
65	65
42	44
39	36
33	30
40	38
41	39
50	54
46	43
12	45
50	44
36	42
65	64
70	65
72	73
72	78
41	41
47	44
40	53
64	60
45	43
43	54
73	68
74	75
60	68
72	73
70	68
47	48
54	60
74	77
71	80
42	38
72	70
45	46
70	65
40	41
47	46
35	32
62	56
49	47
70	68
68	45
31	27
33	35
68	69
33	31
69	69
24	39
32	33
27	35
56	56
78	64
46	44
76	72
33	32
37	32
45	50
68	72
70	72
50	53
50	64
33	34
39	37
33	46
65	64
41	41
46	30
60	52
38	36
75	69
48	46
71	70
30	30
71	68
70	68
49	56
44	53
49	38
50	41
76	75
29	31
76	74
52	46
72	74
46	48
70	55
34	35
76	76
41	41
32	30
50	55
72	72
27	25
80	76
74	70
26	39
47	41
42	50
68	64
75	76
76	72
54	49
44	45
43	36
50	46
48	47
78	70
68	68
66	66
48	62
78	72
64	62
30	36
64	64
73	75
76	69
78	73
70	67
46	52
50	42
53	54
70	70
